,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Cabin_num,Side
0,Europa,0,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,0,B,0,P
1,Earth,0,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,1,F,0,S
2,Europa,0,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,0,A,0,S
5,Earth,0,PSO J318.5-22,44.0,0,0.0,483.0,0.0,291.0,0.0,1,F,0,P
7,Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,G,0,S
8,Earth,0,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,1,F,3,S
9,Europa,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,1,B,1,P
10,Europa,1,TRAPPIST-1e,34.0,0,0.0,0.0,0.0,0.0,0.0,1,B,1,P
11,Europa,0,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,1,B,1,P
12,Mars,0,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,1,F,1,P
13,Earth,0,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,0,G,1,S
15,Earth,0,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,0,,,
16,Mars,0,55 Cancri e,27.0,0,1286.0,122.0,0.0,0.0,0.0,0,F,3,P
17,Earth,0,55 Cancri e,24.0,0,0.0,1.0,0.0,0.0,637.0,0,F,4,P
18,Mars,1,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,1,F,5,P
20,Earth,0,55 Cancri e,14.0,0,412.0,0.0,1.0,0.0,679.0,0,F,6,P
21,Earth,1,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,0,E,0,S
22,Earth,1,55 Cancri e,49.0,0,0.0,0.0,0.0,0.0,0.0,0,E,0,S
23,Earth,1,55 Cancri e,29.0,0,0.0,0.0,0.0,0.0,0.0,0,E,0,S
24,Earth,0,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,1,E,0,S
25,Earth,1,PSO J318.5-22,1.0,0,,0.0,0.0,0.0,0.0,0,E,0,S
27,Mars,0,TRAPPIST-1e,21.0,0,980.0,2.0,69.0,0.0,0.0,0,D,0,P
29,Earth,0,TRAPPIST-1e,15.0,0,0.0,225.0,0.0,998.0,0.0,0,F,6,S
30,Europa,0,55 Cancri e,34.0,0,22.0,6073.0,0.0,1438.0,328.0,0,C,0,P
32,Earth,0,TRAPPIST-1e,32.0,0,0.0,850.0,81.0,437.0,453.0,0,G,4,S
33,Mars,0,TRAPPIST-1e,47.0,0,214.0,0.0,1411.0,0.0,1229.0,1,F,9,P
